Sample,Target,EqCq Mean,EqCq Mean2,EqCq Mean3,EqCq Mean4,Lot,Column3,Instrument ,Mean_Cq,Plate
339,IPC,26.71701403,26.88097405,26.79289364,26.58965793,SLCA-PN-003-R2-D-F,339,DIY,26.7449212,4
339,P.Mar cytb,,,,,SLCA-PN-003-R2-D-F,339,DIY,#NUM!,4
340,IPC,26.73443717,26.83223574,26.78229563,26.65909624,SLCA-PN-003-R3-D-F,340,DIY,26.75194003,4
340,P.Mar cytb,,,37.50751451,,SLCA-PN-003-R3-D-F,340,DIY,37.50751451,4
341,IPC,26.72736925,26.77302775,26.75142005,26.62413718,Batch-21-NC,341,,26.71892748,4
341,P.Mar cytb,,,,,Batch-21-NC,341,,#NUM!,4
342,IPC,26.76959282,26.83603126,26.75462012,26.54637049,SLCA-CR-001-NC-D-F,342,DIY,26.7264329,4
342,P.Mar cytb,,,,,SLCA-CR-001-NC-D-F,342,DIY,#NUM!,4
343,IPC,29.6557897,29.81019313,29.419848,29.09887571,SLCA-CR-001-R1-D-F,343,DIY,29.49495441,4
343,P.Mar cytb,,,,,SLCA-CR-001-R1-D-F,343,DIY,#NUM!,4
344,IPC,29.54633002,30.14961462,29.92515031,29.53385522,SLCA-CR-001-R2-D-F,344,DIY,29.78759551,4
344,P.Mar cytb,,,,,SLCA-CR-001-R2-D-F,344,DIY,#NUM!,4
345,IPC,29.58889753,30.03946397,29.76144668,29.68318297,SLCA-CR-001-R3-D-F,345,DIY,29.76777452,4
345,P.Mar cytb,,,,,SLCA-CR-001-R3-D-F,345,DIY,#NUM!,4
346,IPC,26.84688025,26.83591136,26.84418903,26.56855843,SLCA-CR-002-NC-D-F,346,DIY,26.77362113,4
346,P.Mar cytb,,,,,SLCA-CR-002-NC-D-F,346,DIY,#NUM!,4
347,IPC,27.20605511,27.13294596,27.09930588,26.9772255,SLCA-CR-002-R1-D-F,347,DIY,27.10375688,4
347,P.Mar cytb,35.30479419,35.05261189,34.81526591,35.09166507,SLCA-CR-002-R1-D-F,347,DIY,35.06565375,4
348,IPC,27.05114758,27.13532803,27.08851389,26.94268119,SLCA-CR-002-R2-D-F,348,DIY,27.05432423,4
348,P.Mar cytb,34.91986055,34.49500417,35.55848455,35.44819875,SLCA-CR-002-R2-D-F,348,DIY,35.1027814,4
349,IPC,27.22668733,27.28807963,27.34842702,27.22291147,SLCA-CR-002-R3-D-F,349,DIY,27.27147798,4
349,P.Mar cytb,37.48962442,36.61094985,37.15010757,37.93759937,SLCA-CR-002-R3-D-F,349,DIY,37.29391717,4
350,IPC,26.83235687,26.72626966,26.70303689,26.63763393,SLCA-CR-003-NC-D-F,350,DIY,26.72473253,4
350,P.Mar cytb,,,,,SLCA-CR-003-NC-D-F,350,DIY,#NUM!,4
351,IPC,33.04338158,32.89543214,32.3114827,32.12575794,SLCA-CR-003-R1-D-F,351,DIY,32.59174306,4
351,P.Mar cytb,,,,,SLCA-CR-003-R1-D-F,351,DIY,#NUM!,4
352,IPC,36.01387986,34.96640763,34.61519094,35.80203507,SLCA-CR-003-R2-D-F,352,DIY,35.34466284,4
352,P.Mar cytb,,,,,SLCA-CR-003-R2-D-F,352,DIY,#NUM!,4
353,IPC,28.20111601,28.0035377,28.03586958,28.07769845,SLCA-CR-003-R3-D-F,353,DIY,28.07945555,4
353,P.Mar cytb,43,43,41.84837984,42.17242379,SLCA-CR-003-R3-D-F,353,DIY,42.50216281,4
354,IPC,26.70042204,26.76724347,26.69188976,26.66421862,SLCA-CR-004-NC-D-F,354,DIY,26.70591669,4
354,P.Mar cytb,,,,,SLCA-CR-004-NC-D-F,354,DIY,#NUM!,4
355,IPC,27.26778048,27.28887178,27.34705025,27.16613769,SLCA-CR-004-R1-D-F,355,DIY,27.26738179,4
355,P.Mar cytb,39.94700152,37.84115073,38.41869616,38.9680764,SLCA-CR-004-R1-D-F,355,DIY,38.78600308,4
356,IPC,28.17801157,28.93230491,28.06342635,27.93601421,SLCA-CR-004-R2-D-F,356,DIY,28.27480565,4
356,P.Mar cytb,44.32276597,,43,44.29253202,SLCA-CR-004-R2-D-F,356,DIY,43.86740451,4
357,IPC,27.17833053,27.17253017,27.04404499,26.97200982,SLCA-CR-004-R3-D-F,357,DIY,27.09158745,4
357,P.Mar cytb,38.14380522,38.01407214,37.08101882,38.33051266,SLCA-CR-004-R3-D-F,357,DIY,37.88926443,4
358,IPC,26.75828069,26.67642352,26.69320218,26.63953746,SLCA-CR-005-NC-D-F,358,DIY,26.69182637,4
358,P.Mar cytb,,,,,SLCA-CR-005-NC-D-F,358,DIY,#NUM!,4
359,IPC,27.08115158,27.01392085,26.98707683,26.95574503,SLCA-CR-005-R1-D-F,359,DIY,27.00943405,4
359,P.Mar cytb,,,,,SLCA-CR-005-R1-D-F,359,DIY,#NUM!,4
360,IPC,27.53001424,27.7252523,27.60974905,27.51903877,SLCA-CR-005-R2-D-F,360,DIY,27.59589066,4
360,P.Mar cytb,,,,,SLCA-CR-005-R2-D-F,360,DIY,#NUM!,4
361,IPC,27.12285443,27.08174179,27.15383341,26.98712554,SLCA-CR-005-R3-D-F,361,DIY,27.08631602,4
361,P.Mar cytb,,,,,SLCA-CR-005-R3-D-F,361,DIY,#NUM!,4
362,IPC,26.70381944,26.83040256,26.74516289,26.72496715,Batch-22-NC,362,,26.75104487,4
362,P.Mar cytb,,,,,Batch-22-NC,362,,#NUM!,4
363,IPC,26.69733449,26.77214623,26.81072152,26.59491587,SLCA-CR-001-NC-OS-F,363,OS,26.71865261,4
363,P.Mar cytb,,,,,SLCA-CR-001-NC-OS-F,363,OS,#NUM!,4
364,IPC,26.8474271,26.7956947,26.82753703,26.84315372,SLCA-CR-001-R1-OS-F,364,OS,26.82844545,4
364,P.Mar cytb,36.95111627,36.46849239,,36.8175521,SLCA-CR-001-R1-OS-F,364,OS,36.74515589,4
365,IPC,27.39653325,27.13000623,28.09739836,26.92451164,SLCA-CR-001-R2-OS-F,365,OS,27.3835571,4
365,P.Mar cytb,43.66882351,40.13273018,,40.74828331,SLCA-CR-001-R2-OS-F,365,OS,41.48838262,4
366,IPC,28.00636444,28.68329481,27.56772072,26.98425361,SLCA-CR-001-R3-OS-F,366,OS,27.80348661,4
366,P.Mar cytb,,,,,SLCA-CR-001-R3-OS-F,366,OS,#NUM!,4
367,IPC,26.75761292,26.6585693,26.66421957,26.57705809,SLCA-CR-002-NC-OS-F,367,OS,26.66428833,4
367,P.Mar cytb,,,,,SLCA-CR-002-NC-OS-F,367,OS,#NUM!,4
368,IPC,26.8195487,26.70609747,26.90993407,26.59109772,SLCA-CR-002-R1-OS-F,368,OS,26.75640116,4
368,P.Mar cytb,,,,,SLCA-CR-002-R1-OS-F,368,OS,#NUM!,4
369,IPC,26.77123079,26.67434786,26.79112346,26.61749798,SLCA-CR-002-R2-OS-F,369,OS,26.7134559,4
369,P.Mar cytb,34.09605431,33.92796858,33.37952999,34.17238468,SLCA-CR-002-R2-OS-F,369,OS,33.89255982,4
370,IPC,26.87068512,26.88266414,26.72778835,26.7945975,SLCA-CR-002-R3-OS-F,370,OS,26.81886084,4
370,P.Mar cytb,36.94464253,35.77384719,,36.15183036,SLCA-CR-002-R3-OS-F,370,OS,36.28683881,4
371,IPC,26.84525744,26.97402107,26.85889051,26.69453655,SLCA-CR-003-NC-OS-F,371,OS,26.84299249,4
371,P.Mar cytb,,,,,SLCA-CR-003-NC-OS-F,371,OS,#NUM!,4
372,IPC,27.12171011,27.20464032,27.22780091,27.23289795,SLCA-CR-003-R1-OS-F,372,OS,27.19672568,4
372,P.Mar cytb,38.22543892,41.18354369,41.71606422,41.35695941,SLCA-CR-003-R1-OS-F,372,OS,40.59588661,4
373,IPC,29.17653892,27.09740014,33.77822919,26.9721225,SLCA-CR-003-R2-OS-F,373,OS,29.13253988,4
373,P.Mar cytb,,,,,SLCA-CR-003-R2-OS-F,373,OS,#NUM!,4
374,IPC,26.90879354,26.92355112,26.85716603,26.65500366,SLCA-CR-003-R3-OS-F,374,OS,26.83591296,4
374,P.Mar cytb,39.18315407,38.80987564,38.63765174,37.9333754,SLCA-CR-003-R3-OS-F,374,OS,38.63834037,4
375,IPC,26.92179729,27.04477353,30.16473344,26.63396386,SLCA-CR-004-NC-OS-F,375,OS,27.65544648,4
375,P.Mar cytb,,,,,SLCA-CR-004-NC-OS-F,375,OS,#NUM!,4
376,IPC,30.05213562,31.13728102,30.3440443,27.27232279,SLCA-CR-004-R1-OS-F,376,OS,29.66455956,4
376,P.Mar cytb,,,,,SLCA-CR-004-R1-OS-F,376,OS,#NUM!,4
377,IPC,26.72733314,26.68680756,26.78034897,26.6249201,SLCA-CR-004-R2-OS-F,377,OS,26.70479196,4
377,P.Mar cytb,,,,,SLCA-CR-004-R2-OS-F,377,OS,#NUM!,4
378,IPC,26.90265536,26.78256743,26.78575779,26.69403304,SLCA-CR-004-R3-OS-F,378,OS,26.79115096,4
378,P.Mar cytb,,,,,SLCA-CR-004-R3-OS-F,378,OS,#NUM!,4
379,IPC,26.68211171,26.81715816,26.6803355,26.57728978,SLCA-CR-005-NC-OS-F,379,OS,26.68908792,4
379,P.Mar cytb,,,,,SLCA-CR-005-NC-OS-F,379,OS,#NUM!,4
380,IPC,26.80783284,26.85625109,26.79131683,26.70021086,SLCA-CR-005-R1-OS-F,380,OS,26.78884329,4
380,P.Mar cytb,,,,,SLCA-CR-005-R1-OS-F,380,OS,#NUM!,4
381,IPC,26.69157739,26.8586529,26.75678339,26.57275217,SLCA-CR-005-R2-OS-F,381,OS,26.71973993,4
381,P.Mar cytb,,,,,SLCA-CR-005-R2-OS-F,381,OS,#NUM!,4
382,IPC,26.95011233,26.82340076,26.83576194,26.63988147,SLCA-CR-005-R3-OS-F,382,OS,26.81205855,4
382,P.Mar cytb,,,,,SLCA-CR-005-R3-OS-F,382,OS,#NUM!,4
383,IPC,26.73994663,26.78307809,26.73700377,26.63548433,Batch-23-NC,383,,26.72382319,4
383,P.Mar cytb,,,,,Batch-23-NC,383,,#NUM!,4
384,IPC,,,,,SLCA-BR-001-NC-OS-F,384,OS,#NUM!,4
384,P.Mar cytb,,,,,SLCA-BR-001-NC-OS-F,384,OS,#NUM!,4
385,IPC,30.2486763,30.70820862,30.83615099,29.16799765,SLCA-BR-001-R1-OS-F,385,OS,30.2330463,4
385,P.Mar cytb,,,,,SLCA-BR-001-R1-OS-F,385,OS,#NUM!,4
386,IPC,,,,,SLCA-BR-001-R2-OS-F,386,OS,#NUM!,4
386,P.Mar cytb,,,,,SLCA-BR-001-R2-OS-F,386,OS,#NUM!,4
387,IPC,,,,,SLCA-BR-001-R3-OS-F,387,OS,#NUM!,4
387,P.Mar cytb,,,,,SLCA-BR-001-R3-OS-F,387,OS,#NUM!,4
388,IPC,26.75174946,26.69496309,26.68979747,26.63718441,SLCA-BR-002-NC-OS-F,388,OS,26.69339279,4
388,P.Mar cytb,,,,,SLCA-BR-002-NC-OS-F,388,OS,#NUM!,4
389,IPC,,,,,SLCA-BR-002-R1-OS-F,389,OS,#NUM!,4
389,P.Mar cytb,,,,,SLCA-BR-002-R1-OS-F,389,OS,#NUM!,4
390,IPC,,,,,SLCA-BR-002-R2-OS-F,390,OS,#NUM!,4
390,P.Mar cytb,,,,,SLCA-BR-002-R2-OS-F,390,OS,#NUM!,4
391,IPC,,,,,SLCA-BR-002-R3-OS-F,391,OS,#NUM!,4
391,P.Mar cytb,,,,,SLCA-BR-002-R3-OS-F,391,OS,#NUM!,4
392,IPC,26.80401115,26.89163851,26.84577949,26.6843114,SLCA-BR-003-NC-OS-F,392,OS,26.80632436,4
392,P.Mar cytb,,,,,SLCA-BR-003-NC-OS-F,392,OS,#NUM!,4
393,IPC,,,,,SLCA-BR-003-R1-OS-F,393,OS,#NUM!,4
393,P.Mar cytb,,,,,SLCA-BR-003-R1-OS-F,393,OS,#NUM!,4
394,IPC,,,,,SLCA-BR-003-R2-OS-F,394,OS,#NUM!,4
394,P.Mar cytb,,,,,SLCA-BR-003-R2-OS-F,394,OS,#NUM!,4
395,IPC,,,,,SLCA-BR-003-R3-OS-F,395,OS,#NUM!,4
395,P.Mar cytb,,,,,SLCA-BR-003-R3-OS-F,395,OS,#NUM!,4
396,IPC,26.74850131,26.83137166,26.74997587,26.59849442,SLCA-BR-004-NC-OS-F,396,OS,26.73195335,4
396,P.Mar cytb,,,,,SLCA-BR-004-NC-OS-F,396,OS,#NUM!,4
397,IPC,,,,,SLCA-BR-004-R1-OS-F,397,OS,#NUM!,4
397,P.Mar cytb,,,,,SLCA-BR-004-R1-OS-F,397,OS,#NUM!,4
398,IPC,,,,,SLCA-BR-004-R2-OS-F,398,OS,#NUM!,4
398,P.Mar cytb,,,,,SLCA-BR-004-R2-OS-F,398,OS,#NUM!,4
399,IPC,,,,,SLCA-BR-004-R3-OS-F,399,OS,#NUM!,4
399,P.Mar cytb,,,,,SLCA-BR-004-R3-OS-F,399,OS,#NUM!,4
400,IPC,26.90082426,26.82987192,26.72291393,26.71726909,SLCA-BR-005-NC-OS-F,400,OS,26.79260961,4
400,P.Mar cytb,,,,,SLCA-BR-005-NC-OS-F,400,OS,#NUM!,4
401,IPC,,,,,SLCA-BR-005-R1-OS-F,401,OS,#NUM!,5
401,P.Mar cytb,,,,,SLCA-BR-005-R1-OS-F,401,OS,#NUM!,5
402,IPC,,,,,SLCA-BR-005-R2-OS-F,402,OS,#NUM!,5
402,P.Mar cytb,,,,,SLCA-BR-005-R2-OS-F,402,OS,#NUM!,5
403,IPC,,,,,SLCA-BR-005-R3-OS-F,403,OS,#NUM!,5
403,P.Mar cytb,,,,,SLCA-BR-005-R3-OS-F,403,OS,#NUM!,5
404,IPC,27.214551,27.18762653,26.99687122,27.16971244,Batch-24-NC,404,,27.14205564,5
404,P.Mar cytb,,,,,Batch-24-NC,404,,#NUM!,5
405,IPC,27.28770102,27.22149634,27.00293254,27.23071406,SLCA-BR-001-NC-D-F,405,DIY,27.18549379,5
405,P.Mar cytb,,,,43,SLCA-BR-001-NC-D-F,405,DIY,43,5
406,IPC,,,,,SLCA-BR-001-R1-D-F,406,DIY,#NUM!,5
406,P.Mar cytb,,,,,SLCA-BR-001-R1-D-F,406,DIY,#NUM!,5
407,IPC,32.12546102,30.99784929,31.13653406,30.85781888,SLCA-BR-001-R2-D-F,407,DIY,31.27548881,5
407,P.Mar cytb,,,,,SLCA-BR-001-R2-D-F,407,DIY,#NUM!,5
408,IPC,,,,,SLCA-BR-001-R3-D-F,408,DIY,#NUM!,5
408,P.Mar cytb,,,,,SLCA-BR-001-R3-D-F,408,DIY,#NUM!,5
409,IPC,27.14152661,27.34653515,26.90686613,27.13028709,SLCA-BR-002-NC-D-F,409,DIY,27.1308576,5
409,P.Mar cytb,,,,,SLCA-BR-002-NC-D-F,409,DIY,#NUM!,5
410,IPC,,,,,SLCA-BR-002-R1-D-F,410,DIY,#NUM!,5
410,P.Mar cytb,,,,,SLCA-BR-002-R1-D-F,410,DIY,#NUM!,5
411,IPC,,,,,SLCA-BR-002-R2-D-F,411,DIY,#NUM!,5
411,P.Mar cytb,,,,,SLCA-BR-002-R2-D-F,411,DIY,#NUM!,5
412,IPC,,,,,SLCA-BR-002-R3-D-F,412,DIY,#NUM!,5
412,P.Mar cytb,,,,,SLCA-BR-002-R3-D-F,412,DIY,#NUM!,5
413,IPC,27.26389413,27.25765476,26.96539663,27.15206331,SLCA-BR-003-NC-D-F,413,DIY,27.15948345,5
413,P.Mar cytb,,,,,SLCA-BR-003-NC-D-F,413,DIY,#NUM!,5
414,IPC,,,,,SLCA-BR-003-R1-D-F,414,DIY,#NUM!,5
414,P.Mar cytb,,,,,SLCA-BR-003-R1-D-F,414,DIY,#NUM!,5
415,IPC,34.97227565,33.95572623,34.61470203,33.51347384,SLCA-BR-003-R2-D-F,415,DIY,34.25935957,5
415,P.Mar cytb,,,,,SLCA-BR-003-R2-D-F,415,DIY,#NUM!,5
416,IPC,,,,,SLCA-BR-003-R3-D-F,416,DIY,#NUM!,5
416,P.Mar cytb,,,,,SLCA-BR-003-R3-D-F,416,DIY,#NUM!,5
417,IPC,27.17523367,27.33887609,27.00755656,27.13736491,SLCA-BR-004-NC-D-F,417,DIY,27.16450078,5
417,P.Mar cytb,,,,,SLCA-BR-004-NC-D-F,417,DIY,#NUM!,5
418,IPC,,,,,SLCA-BR-004-R1-D-F,418,DIY,#NUM!,5
418,P.Mar cytb,,,,,SLCA-BR-004-R1-D-F,418,DIY,#NUM!,5
419,IPC,,,,,SLCA-BR-004-R2-D-F,419,DIY,#NUM!,5
419,P.Mar cytb,,,,,SLCA-BR-004-R2-D-F,419,DIY,#NUM!,5
420,IPC,,,,,SLCA-BR-004-R3-D-F,420,DIY,#NUM!,5
420,P.Mar cytb,,,,,SLCA-BR-004-R3-D-F,420,DIY,#NUM!,5
421,IPC,27.2087733,27.28960047,26.90657373,27.13294903,SLCA-BR-005-NC-D-F,421,DIY,27.13409769,5
421,P.Mar cytb,,,,,SLCA-BR-005-NC-D-F,421,DIY,#NUM!,5
422,IPC,,,,,SLCA-BR-005-R1-D-F,422,DIY,#NUM!,5
422,P.Mar cytb,,,,,SLCA-BR-005-R1-D-F,422,DIY,#NUM!,5
423,IPC,,,,,SLCA-BR-005-R2-D-F,423,DIY,#NUM!,5
423,P.Mar cytb,,,,,SLCA-BR-005-R2-D-F,423,DIY,#NUM!,5
424,IPC,,,,,SLCA-BR-005-R3-D-F,424,DIY,#NUM!,5
424,P.Mar cytb,,,,,SLCA-BR-005-R3-D-F,424,DIY,#NUM!,5
425,IPC,27.34699728,27.28144959,26.90546228,27.06448153,Batch-25-NC,425,,27.14902985,5
425,P.Mar cytb,,,,,Batch-25-NC,425,,#NUM!,5
426,IPC,27.23353828,27.33535721,26.97540775,27.14267594,SLCA-LY-001-NC-OS-F,426,OS,27.17142252,5
426,P.Mar cytb,,,,,SLCA-LY-001-NC-OS-F,426,OS,#NUM!,5
427,IPC,27.28871835,27.25971519,26.91253564,27.17345705,SLCA-LY-001-R1-OS-F,427,OS,27.15820055,5
427,P.Mar cytb,34.55185196,34.50494269,35.13601736,33.55673703,SLCA-LY-001-R1-OS-F,427,OS,34.43271156,5
428,IPC,27.33098432,27.32696831,26.96252544,27.26098846,SLCA-LY-001-R2-OS-F,428,OS,27.21994374,5
428,P.Mar cytb,32.35996204,32.71428021,32.63547901,31.83950936,SLCA-LY-001-R2-OS-F,428,OS,32.38548704,5
429,IPC,27.35074899,27.31808352,27.01794023,27.2998069,SLCA-LY-001-R3-OS-F,429,OS,27.24631768,5
429,P.Mar cytb,33.76572911,33.98435685,34.09309718,33.06277337,SLCA-LY-001-R3-OS-F,429,OS,33.72408933,5
430,IPC,27.22855836,27.24861591,26.90874498,27.20985479,SLCA-LY-002-NC-OS-F,430,OS,27.14858448,5
430,P.Mar cytb,,,,,SLCA-LY-002-NC-OS-F,430,OS,#NUM!,5
431,IPC,27.27653128,27.19790081,26.93783713,27.25188874,SLCA-LY-002-R1-OS-F,431,OS,27.16570399,5
431,P.Mar cytb,36.05537742,36.17590198,36.84826785,35.95577073,SLCA-LY-002-R1-OS-F,431,OS,36.2571592,5
432,IPC,27.29843027,27.28561065,26.97282973,27.07942525,SLCA-LY-002-R2-OS-F,432,OS,27.1587218,5
432,P.Mar cytb,37.14719499,36.81746026,37.43454313,36.38243787,SLCA-LY-002-R2-OS-F,432,OS,36.9433306,5
433,IPC,27.21384612,27.34866817,26.98738875,27.24690383,SLCA-LY-002-R3-OS-F,433,OS,27.19888073,5
433,P.Mar cytb,39.32358977,36.79738441,41.15926025,38.31130126,SLCA-LY-002-R3-OS-F,433,OS,38.86566855,5
434,IPC,27.2083502,27.1964253,27.8213759,27.06993065,SLCA-LY-003-NC-OS-F,434,OS,27.3224692,5
434,P.Mar cytb,,,,,SLCA-LY-003-NC-OS-F,434,OS,#NUM!,5
435,IPC,27.28722392,27.3100977,27.05151432,27.28358426,SLCA-LY-003-R1-OS-F,435,OS,27.23290075,5
435,P.Mar cytb,,,,,SLCA-LY-003-R1-OS-F,435,OS,#NUM!,5
436,IPC,27.39200884,27.4188935,27.1463057,27.24000619,SLCA-LY-003-R2-OS-F,436,OS,27.29907529,5
436,P.Mar cytb,,,,,SLCA-LY-003-R2-OS-F,436,OS,#NUM!,5
437,IPC,27.61604555,27.36398113,27.10617073,27.36733837,SLCA-LY-003-R3-OS-F,437,OS,27.36278991,5
437,P.Mar cytb,,,,,SLCA-LY-003-R3-OS-F,437,OS,#NUM!,5
438,IPC,27.16621422,27.32691064,26.83640386,27.14578445,SLCA-LY-004-NC-OS-F,438,OS,27.11824582,5
438,P.Mar cytb,,,,,SLCA-LY-004-NC-OS-F,438,OS,#NUM!,5
439,IPC,27.46791247,27.32560268,26.98286835,27.33872056,SLCA-LY-004-R1-OS-F,439,OS,27.27818222,5
439,P.Mar cytb,39.33938126,40.58410098,,39.34454428,SLCA-LY-004-R1-OS-F,439,OS,39.7517261,5
440,IPC,27.63642107,27.60299959,27.2539092,27.45030733,SLCA-LY-004-R2-OS-F,440,OS,27.48549254,5
440,P.Mar cytb,36.74086501,36.2517377,36.66007584,35.51009839,SLCA-LY-004-R2-OS-F,440,OS,36.28740068,5
441,IPC,27.74187368,27.69588579,27.31807813,27.57898365,SLCA-LY-004-R3-OS-F,441,OS,27.58321359,5
441,P.Mar cytb,40.98043194,,40.51592833,39.99308046,SLCA-LY-004-R3-OS-F,441,OS,40.49447078,5
442,IPC,27.30025724,27.1373744,26.8140811,27.11853699,SLCA-LY-005-NC-OS-F,442,OS,27.09199178,5
442,P.Mar cytb,,,,,SLCA-LY-005-NC-OS-F,442,OS,#NUM!,5
443,IPC,27.52901367,27.45830946,27.05125813,27.31312683,SLCA-LY-005-R1-OS-F,443,OS,27.33731356,5
443,P.Mar cytb,,,,,SLCA-LY-005-R1-OS-F,443,OS,#NUM!,5
444,IPC,27.54017385,27.41719766,27.19308423,27.48026713,SLCA-LY-005-R2-OS-F,444,OS,27.40736538,5
444,P.Mar cytb,,,,,SLCA-LY-005-R2-OS-F,444,OS,#NUM!,5
445,IPC,27.47742286,27.47860849,27.00197606,28.97048024,SLCA-LY-005-R3-OS-F,445,OS,27.72237883,5
445,P.Mar cytb,,,,,SLCA-LY-005-R3-OS-F,445,OS,#NUM!,5
